review_score,review_comment_message,product_category_name
5,O baratheon è esxelente Amo adoro o baratheon,casa_conforto
5,Loja responsável,esporte_lazer
5,chegou antes do prometido,brinquedos
5,"ótimo, entregou antes da data prevista.",moveis_decoracao
5,Td certo.Produto e prazo de entrega.,automotivo
5,"Pena o produto não ter sido entregue em casa, tive q retirar nos correios.",informatica_acessorios
3,Produto chegou no prazo o problema que veio na frente da capa danificado faltado couro embaixo por sinal falam que couro mas não muito ruim !!! Não recomendo essa loja !!!!,telefonia
5,"Ameiiii !!! excelente produto...excelente qualidade, entregue muito bom antes do prazo, obrigada",ferramentas_jardim
5,Produto chegou antes da data prevista.,automotivo
1,Bom dia eu fiz uma compra de 03 peças só mim entregarou só 01 a caixa não estava violada,ferramentas_jardim
5,Excelente. Recomendo.,bebes
5,Otimo qualidade ,cama_mesa_banho
5,Eu recomendo..,ferramentas_jardim
4,"O jogo é aparentemente é bom.. só tive q fazer os arremates,(muita linha solta) mas as costuras parecem ser resistentes.... ",cama_mesa_banho
5,Produto de qualidade.,artes
1,"Ainda não recebi o produto. Sendo assim, não posso opinar sobre ele. Quanto a loja, deixa a desejar quanto aos prazos.",moveis_escritorio
5,"Produto de ótima qualidade , lindíssimo , bem fácil de instalar .",informatica_acessorios
5,Excelente.,relogios_presentes
5,"Tudo perfeito, atendimento, produto e entrega bem antes da data prevista. ",papelaria
5,Muito boas. Obrigado. ,fashion_roupa_feminina
2,"muito corretos, mas a minha escilha pelo produto foi errada",moveis_decoracao
5,"Cara, sem palavras esse serviço, me prometeram o produto em um dia e chegou duas semanas antes",consoles_games
5,"entrega mais rápida que o normal, produto em perfeitas condiçoes!",esporte_lazer
2,O lustre veio sem as lâmpadas ,moveis_decoracao
4,entrega rapida,informatica_acessorios
1,Me mandaram um o relógio que não funciona.. Vou acionar a justiça de novo.. ,relogios_presentes
5,"Prazo de entrega bem antes do previsto, produto de acordo com as descrições, Recomendo.",cama_mesa_banho
1,"COMPREI 05 COPOS E RECEBI APENAS 01 COPO, POR FAVOR SOLICITO A ENTREGA DOS DEMAIS COPOS QUE FIZ A COMPRA E EFETUEI O PAGAMENTO",utilidades_domesticas
1,"venho outro modelo de relógio casio, diferente do relógio que comprei.",relogios_presentes
4,"A crítica é à entrega, pois por se tratar dos Correios tiveram 3 vezes aqui em casa, sendo que? eu não estava em nenhuma das três, e não me deram a possibilidade de agendar o horário, tive q ir buscar",moveis_escritorio
3,"Recebi o produto, porém está faltando o nano.. uma peça fundamental para que o mouse funcione.",informatica_acessorios
5,Excelente produto e com suporte. De pós venda maravilhoso,pet_shop
5,Muito bom! Entrega antes do prazo! ,relogios_presentes
5,Boa atendimento ,automotivo
5,"produto entregue no prazo, muito bom!",informatica_acessorios
5,Entrega OK em tempo OK. ,telefonia
4,"Excelente produto, chegou antes do prazo e satisfaz minha necessidade, super recomendo ",cool_stuff
4,Satisfeita,fashion_bolsas_e_acessorios
1,"Entrega super em atraso, preciso de um esclarecimento do ocorrido",bebes
5,Gostei muito da venda das informações do produto. Do acabamento do produto ficou otimo na motocicleta,automotivo
5,Loja nota 10,beleza_saude
3,"Pelo valor, é uma mochila boa. Os fechos são um pouco dificeis de manejar e alguns bolsos nunca ficarão 100% fechados (não é bom pra colocar moedas e coisas pequenas).
Um zíper também veio sem o fech",esporte_lazer
2,"Bonita, pratica, porém a tampa da churrasqueira é mais pesada que o corpo e como a trava que para a tampa não funciona com o peso ela tompa, as alças da grelha vieram amassadas e tambem são fracas",utilidades_domesticas
5,chegou rapido,cool_stuff
1,O produto não foi entregue.,cama_mesa_banho
5,gostei ,beleza_saude
5,"Produto de qualidade, bem embalado, e alem de lindo.. Amei.. Entrega super rápida...",utilidades_domesticas
5, Produto de otima qualidade e muito bonita. Parabens. Chegou um mes antes do prazo.,utilidades_domesticas
5,Muito bom o produto,perfumaria
3,"Fiz 3 compras nesse dia em parceiros diferentes, porém o restante já chegou !",relogios_presentes
5,"Podem comprar cumpre oque prometem.
Parabens",eletronicos
2,Linda.entrega rápida... parabéns,cama_mesa_banho
1,"Produto muito diferente da imagem apresentada no site da lannister, o diâmetro não chega nem
próximo do apresentado no site, não serve na cama Queen Size, péssimo acabamento não tem nada de Elegance",cama_mesa_banho
5,Produto Excelente ,bebes
5,entrega muito rapida sempre que compre chega antes do prazo.,pet_shop
3,Ainda não recebi o produto.,beleza_saude
1,"Faz mais de 30 dias que realizei uma compra e não recebi o produto.
O status do site só informa que se tem problema na entrega, quando tento ligar na central também não tenho sucesso.",moveis_decoracao
5,MT bom ,fashion_roupa_masculina
4,Foi entregue em 10 dias depois do pagamento. Quando o produto chegou eu achei um pouco fraco o motor da máquina mas costura bem.,eletroportateis
4,"A cor do produto nao é a cor q Preciso, gostaria de trocar, como faço? ",portateis_casa_forno_e_cafe
5,chegou muito rapido pena que nao veio do mesmo que estava precisando,eletrodomesticos_2
4,muito boom,beleza_saude
1,"A parte superior do produto foi mal feita, não encaixa corretamente e está folgada.",telefonia
4,Recebi no prazo e tudo correto parabéns totalmente satisfeito ,automotivo
3,"Olha , gostei muito das coisas que tem na loja. Pena que a lixeira não foi como eu esperava. Mas é bonita então dei de presente para minha irmã que se mudou agora é ",utilidades_domesticas
3,ainda estou aguardando,telefonia
1,Estou a espera do produto à dias .. E ainda não foi entregue.,esporte_lazer
5,eu simplismeente ameiii,cool_stuff
3,"Recebi mas quando eu abrir estava tudo amassado.

",sinalizacao_e_seguranca
5,A entrega foi realizada muito antes do prazo informado! ,perfumaria
5,Atendimento e entrega 100%,perfumaria
5,amei a colcha ,cama_mesa_banho
5,Produto excelente. Empresa rápida e o produto chegou antes do prazo. Parabéns,eletroportateis
5,"Adorei a minha compra , chegou muito rápido ",construcao_ferramentas_ferramentas
5,"Ótimo produto, entrega rápida, parabéns!",informatica_acessorios
5,"Produto de boa qualidade, é mais do que o esperado, entrega ocorreu no prazo.",consoles_games
5,"Chegou muito antes do prazo que estipularam....adorei!!!
Material bom!",cool_stuff
1,Ainda estou aguardando a entrega do produto!,esporte_lazer
1,Produto não foi entregue,cama_mesa_banho
1,Estou aguardando meu produto,esporte_lazer
5,"Produto de qualidade. Chegou em perfeito estado.Recomendo este produto!
",ferramentas_jardim
5,a loja cumpre o prazo. o produto serviu pra o que foi adquirido.,pet_shop
1,"Comprei um produto, progressiva all time.
no valor de 199,00 mas me mandaram o produto da edição especial que no site está no valor de 51,90.
Isto não é justo. Espero que seja ressarcido a diferença",beleza_saude
1,A targaryen é um intermediário entre lojas de e-commerce e o consumidor. TOTALMENTE desorganizada. DOU NOTA ZERO a targaryen.,casa_conforto
5,Entrega rápida!,moveis_decoracao
